i,joint_names,positions
1,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-4.371138828673793e-08, -0.776455283164978, 2.0343847274780273, 4.569557887634801e-08, -1.0565178394317627, 1.8301960229873657, -1.3909067675399456e-08, -1.0565178394317627, 1.8301960229873657, -7.351371067443324e-08, -0.776455283164978, 2.0343847274780273]"
2,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[1.5893254712295857e-08, -0.767511248588562, 1.9949145317077637, 4.569557887634801e-08, -1.0612187385559082, 1.8290460109710693, -1.3909067675399456e-08, -1.0612187385559082, 1.8290460109710693, -4.371138828673793e-08, -0.767511248588562, 1.9949145317077637]"
3,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[1.5893254712295857e-08, -0.767511248588562, 1.9949145317077637, 4.569557887634801e-08, -1.0612187385559082, 1.8290460109710693, -1.3909067675399456e-08, -1.0612187385559082, 1.8290460109710693, -4.371138828673793e-08, -0.767511248588562, 1.9949145317077637]"
4,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-4.371138828673793e-08, -0.7578721046447754, 1.9454513788223267, 4.569557887634801e-08, -1.0670534372329712, 1.8275429010391235, -1.3909067675399456e-08, -1.0670534372329712, 1.8275429010391235, 4.569557887634801e-08, -0.7578721046447754, 1.9454513788223267]"
5,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[1.5893254712295857e-08, -0.7505399584770203, 1.8984414339065552, 7.549790126404332e-08, -1.0728415250778198, 1.8259668350219727, 1.5893254712295857e-08, -1.0728415250778198, 1.8259668350219727, -1.3909067675399456e-08, -0.7505399584770203, 1.8984414339065552]"
6,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.7471580505371094, 1.8652474880218506, 7.549790126404332e-08, -1.077438235282898, 1.8246535062789917, 1.5893254712295857e-08, -1.077438235282898, 1.8246535062789917, -1.3909067675399456e-08, -0.7471580505371094, 1.8652474880218506]"
7,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[4.569557887634801e-08, -0.7470898628234863, 1.8389654159545898, 7.549790126404332e-08, -1.0820046663284302, 1.823293685913086, 1.5893254712295857e-08, -1.0820046663284302, 1.823293685913086, -4.371138828673793e-08, -0.7470898628234863, 1.8389654159545898]"
8,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.7539476156234741, 1.8213517665863037, 7.549790126404332e-08, -1.0876696109771729, 1.8215283155441284, 1.5893254712295857e-08, -1.0876696109771729, 1.8215283155441284, 1.5893254712295857e-08, -0.7539476156234741, 1.8213517665863037]"
9,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.7539476156234741, 1.8213517665863037, 7.549790126404332e-08, -1.0876696109771729, 1.8215283155441284, 1.5893254712295857e-08, -1.0876696109771729, 1.8215283155441284, 1.5893254712295857e-08, -0.7539476156234741, 1.8213517665863037]"
10,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.7539476156234741, 1.8213517665863037, 7.549790126404332e-08, -1.0876696109771729, 1.8215283155441284, 1.5893254712295857e-08, -1.0876696109771729, 1.8215283155441284, 1.5893254712295857e-08, -0.7539476156234741, 1.8213517665863037]"
11,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-4.371138828673793e-08, -0.7669658660888672, 1.8225961923599243, -4.371138828673793e-08, -1.1070914268493652, 1.8267865180969238, -1.3909067675399456e-08, -1.1070914268493652, 1.8267865180969238, 1.5893254712295857e-08, -0.7669658660888672, 1.8225961923599243]"
12,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-4.371138828673793e-08, -0.7728237509727478, 1.823979377746582, 4.569557887634801e-08, -1.126177430152893, 1.842987060546875, 1.5893254712295857e-08, -1.126177430152893, 1.842987060546875, 1.5893254712295857e-08, -0.7728237509727478, 1.823979377746582]"
13,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-4.371138828673793e-08, -0.7786678671836853, 1.8253159523010254, 4.569557887634801e-08, -1.1483666896820068, 1.8659628629684448, 1.5893254712295857e-08, -1.1483666896820068, 1.8659628629684448, 1.5893254712295857e-08, -0.7786678671836853, 1.8253159523010254]"
14,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-4.371138828673793e-08, -0.7844981551170349, 1.826606035232544, 1.5893254712295857e-08, -1.1723949909210205, 1.8932440280914307, 4.569557887634801e-08, -1.1723949909210205, 1.8932440280914307, 1.5893254712295857e-08, -0.7844981551170349, 1.826606035232544]"
15,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.7888614535331726, 1.8275429010391235, 1.5893254712295857e-08, -1.1909918785095215, 1.915356993675232, 7.549790126404332e-08, -1.1909918785095215, 1.915356993675232, 4.569557887634801e-08, -0.7888614535331726, 1.8275429010391235]"
16,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.7917659282684326, 1.8281528949737549, 1.5893254712295857e-08, -1.2034573554992676, 1.9305227994918823, 7.549790126404332e-08, -1.2034573554992676, 1.9305227994918823, 4.569557887634801e-08, -0.7917659282684326, 1.8281528949737549]"
17,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.7917659282684326, 1.8281528949737549, 1.5893254712295857e-08, -1.2034573554992676, 1.9305227994918823, 7.549790126404332e-08, -1.2034573554992676, 1.9305227994918823, 4.569557887634801e-08, -0.7917659282684326, 1.8281528949737549]"
18,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.7961156964302063, 1.8290460109710693, 7.549790126404332e-08, -1.2220231294631958, 1.9535224437713623, 1.5893254712295857e-08, -1.2220231294631958, 1.9535224437713623, 4.569557887634801e-08, -0.7961156964302063, 1.8290460109710693]"
19,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8004571795463562, 1.8299129009246826, 4.569557887634801e-08, -1.2401901483535767, 1.976457118988037, 4.569557887634801e-08, -1.2401901483535767, 1.976457118988037, 4.569557887634801e-08, -0.8004571795463562, 1.8299129009246826]"
