i,joint_names,positions,pulse_position
1,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-4.371138828673793e-08, -0.776455283164978, 2.0343847274780273, 4.569557887634801e-08, -1.0565178394317627, 1.8301960229873657, -1.3909067675399456e-08, -1.0565178394317627, 1.8301960229873657, -7.351371067443324e-08, -0.776455283164978, 2.0343847274780273]","[1510, 1564.2381556196856, 332.00121471052404, 1570, 529.9752676142898, 1988.7627798460544, 1630, 1957.4892948979411, 335.10288598138646, 1570, 446.0277471847296, 2056.7880130847097]"
2,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[1.5893254712295857e-08, -0.767511248588562, 1.9949145317077637, 4.569557887634801e-08, -1.0612187385559082, 1.8290460109710693, -1.3909067675399456e-08, -1.0612187385559082, 1.8290460109710693, -4.371138828673793e-08, -0.767511248588562, 1.9949145317077637]","[1510, 1546.2196032922632, 325.55988000937606, 1570, 532.3333539412436, 1987.5131316850598, 1630, 1966.1990008474963, 334.8923225549917, 1570, 440.8899270431754, 2016.883159082476]"
3,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[1.5893254712295857e-08, -0.767511248588562, 1.9949145317077637, 4.569557887634801e-08, -1.0612187385559082, 1.8290460109710693, -1.3909067675399456e-08, -1.0612187385559082, 1.8290460109710693, -4.371138828673793e-08, -0.767511248588562, 1.9949145317077637]","[1510, 1546.2196032922632, 325.55988000937606, 1570, 532.3333539412436, 1987.5131316850598, 1630, 1966.1990008474963, 334.8923225549917, 1570, 440.8899270431754, 2016.883159082476]"
4,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-4.371138828673793e-08, -0.7578721046447754, 1.9454513788223267, 4.569557887634801e-08, -1.0670534372329712, 1.8275429010391235, -1.3909067675399456e-08, -1.0670534372329712, 1.8275429010391235, 4.569557887634801e-08, -0.7578721046447754, 1.9454513788223267]","[1510, 1526.800691384135, 317.4877456585961, 1570, 535.2601819392339, 1985.879793480231, 1630, 1977.0093816787835, 334.61710805894, 1570, 435.35280758342805, 1966.875302372766]"
5,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[1.5893254712295857e-08, -0.7505399584770203, 1.8984414339065552, 7.549790126404332e-08, -1.0728415250778198, 1.8259668350219727, 1.5893254712295857e-08, -1.0728415250778198, 1.8259668350219727, -1.3909067675399456e-08, -0.7505399584770203, 1.8984414339065552]","[1510, 1512.029431471481, 309.8159623401778, 1570, 538.1636288002908, 1984.1671783318418, 1630, 1987.7334031494609, 334.32853554309423, 1570, 431.14092222680785, 1919.347669131833]"
6,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.7471580505371094, 1.8652474880218506, 7.549790126404332e-08, -1.077438235282898, 1.8246535062789917, 1.5893254712295857e-08, -1.077438235282898, 1.8246535062789917, -1.3909067675399456e-08, -0.7471580505371094, 1.8652474880218506]","[1510, 1505.2162774456133, 304.3988796193401, 1570, 540.469451409393, 1982.7400638102622, 1630, 1996.2500705282418, 334.0880693599709, 1570, 429.19821565718286, 1885.7881810563995]"
7,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[4.569557887634801e-08, -0.7470898628234863, 1.8389654159545898, 7.549790126404332e-08, -1.0820046663284302, 1.823293685913086, 1.5893254712295857e-08, -1.0820046663284302, 1.823293685913086, -4.371138828673793e-08, -0.7470898628234863, 1.8389654159545898]","[1510, 1505.0789072380735, 300.1097794636104, 1570, 542.7600852492341, 1981.2624296677861, 1630, 2004.710637452816, 333.83909071325337, 1570, 429.1590458389688, 1859.2166825306597]"
8,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.7539476156234741, 1.8213517665863037, 7.549790126404332e-08, -1.0876696109771729, 1.8215283155441284, 1.5893254712295857e-08, -1.0876696109771729, 1.8215283155441284, 1.5893254712295857e-08, -0.7539476156234741, 1.8213517665863037]","[1510, 1518.8944595617343, 297.23532169425545, 1570, 545.601760462075, 1979.3441089861058, 1630, 2015.2065023518576, 333.51585719179803, 1570, 433.0984201963178, 1841.4090661058754]"
9,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.7539476156234741, 1.8213517665863037, 7.549790126404332e-08, -1.0876696109771729, 1.8215283155441284, 1.5893254712295857e-08, -1.0876696109771729, 1.8215283155441284, 1.5893254712295857e-08, -0.7539476156234741, 1.8213517665863037]","[1510, 1518.8944595617343, 297.23532169425545, 1570, 545.601760462075, 1979.3441089861058, 1630, 2015.2065023518576, 333.51585719179803, 1570, 433.0984201963178, 1841.4090661058754]"
10,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.7539476156234741, 1.8213517665863037, 7.549790126404332e-08, -1.0876696109771729, 1.8215283155441284, 1.5893254712295857e-08, -1.0876696109771729, 1.8215283155441284, 1.5893254712295857e-08, -0.7539476156234741, 1.8213517665863037]","[1510, 1518.8944595617343, 297.23532169425545, 1570, 545.601760462075, 1979.3441089861058, 1630, 2015.2065023518576, 333.51585719179803, 1570, 433.0984201963178, 1841.4090661058754]"
