i,joint_names,positions
1,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924]"
2,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924]"
3,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924]"
4,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924]"
5,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924]"
6,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924]"
7,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924]"
8,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924]"
9,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924]"
10,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924, 1.5893254712295857e-08, -1.235984206199646, 2.512333393096924]"
