i,joint_names,positions,pulse_position
1,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-0.034486278891563416, -1.2749489545822144, 2.306509017944336, 0.003760651685297489, -0.9255664944648743, 1.8414961099624634, -0.002126111648976803, -0.9199902415275574, 1.842324137687683, 0.020314322784543037, -1.2335048913955688, 2.3186869621276855]","[1457.9257188737392, 2568.497947616107, 376.4105114216004, 1575.904223145917, 464.28686037394965, 2001.0418975486573, 1626.5344380121678, 1704.5344451252663, 337.3235039843454, 1601.8934867717326, 708.5757799314383, 2344.2210735194053]"
2,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-0.027944279834628105, -1.256006121635437, 2.317213773727417, 0.002089844085276127, -0.9300311207771301, 1.842509388923645, -0.0011814077151939273, -0.9269458055496216, 1.842996597290039, 0.0164483655244112, -1.221755862236023, 2.326261520385742]","[1467.8041374497116, 2530.3359275830962, 378.15747298455324, 1573.2810552138835, 466.5264264620227, 2002.1429662092205, 1628.074305424234, 1717.4215366678861, 337.44662913084613, 1595.8239338733256, 701.8266559042579, 2351.8790451995683]"
3,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-0.02125041000545025, -1.2360107898712158, 2.327263355255127, 0.0004180828691460192, -0.9344858527183533, 1.843491792678833, -0.00023625692119821906, -0.9338714480400085, 1.8435947895050049, 0.012498722411692142, -1.2094706296920776, 2.333512306213379]","[1477.9118808917701, 2490.0535551683242, 379.7975134495976, 1570.6563901045593, 468.761029290849, 2003.2104846600091, 1629.614901218447, 1730.253190360089, 337.5561561624258, 1589.6229941863567, 694.7695146702118, 2359.209678965294]"
4,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-0.013084723614156246, -1.2097529172897339, 2.338595151901245, -0.0017221112502738833, -0.9400115609169006, 1.8447048664093018, 0.0009725848794914782, -0.9425330758094788, 1.844252586364746, 0.007693038322031498, -1.1930809020996094, 2.341949462890625]","[1490.242067342624, 2437.154737853397, 381.64680488427507, 1567.29628533707, 471.5328600844101, 2004.5286581529379, 1631.585313353571, 1746.3012332821543, 337.67659660886983, 1582.0780701655895, 685.3545832072666, 2367.7397482702236]"
5,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-0.005888356827199459, -1.1874600648880005, 2.3470256328582764, -0.0034452518448233604, -0.944415271282196, 1.8456463813781738, 0.0019455711590126157, -0.949436366558075, 1.844697117805481, 0.0034591713920235634, -1.1798326969146729, 2.3483572006225586]","[1501.1085811909288, 2392.243805980737, 383.02261639156956, 1564.5909546036273, 473.74186923904824, 2005.5517452448353, 1633.1712809891906, 1759.091474237492, 337.75798885692893, 1575.430899085477, 677.744271009001, 2374.218050028992]"
6,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.003260151483118534, -1.1582728624343872, 2.356235980987549, -0.005600615404546261, -0.9499057531356812, 1.8467804193496704, 0.003162250854074955, -0.958020031452179, 1.8451465368270874, -0.0019135017646476626, -1.1625769138336182, 2.3556227684020996]","[1514.922828739509, 2333.443593368831, 384.52569824502797, 1561.2070338148624, 476.4960296337248, 2006.78403538224, 1635.1544688921422, 1774.9950695333716, 337.8402760050069, 1566.9958022295032, 667.8318417675144, 2381.563628530134]"
7,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.010681257583200932, -1.1339157819747925, 2.362391710281372, -0.007326020859181881, -0.9542866349220276, 1.8476531505584717, 0.004135952331125736, -0.9648497104644775, 1.8454210758209229, -0.006263746879994869, -1.1482137441635132, 2.360708475112915]","[1526.1286989506334, 2284.374090667925, 385.53028187927106, 1558.4981472510844, 478.6935874131128, 2007.7323793427088, 1636.741602299735, 1787.6489245419666, 337.89054319387253, 1560.165917398408, 659.5810482584853, 2386.7053406456375]"
8,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.019444243982434273, -1.1026043891906738, 2.3680801391601562, -0.00921307411044836, -0.9599037766456604, 1.848541498184204, 0.005203799344599247, -0.9730798602104187, 1.8455870151519775, -0.01138628926128149, -1.1290874481201172, 2.365753412246704]","[1539.3608084134758, 2221.294507901912, 386.45860446842653, 1555.535473646596, 481.51128350597844, 2008.6976927142991, 1638.4821929316968, 1802.8975359915867, 337.92092614085516, 1552.123525859788, 648.5941196855342, 2391.8058342166873]"
9,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.019444243982434273, -1.1026043891906738, 2.3680801391601562, -0.00921307411044836, -0.9599037766456604, 1.848541498184204, 0.005203799344599247, -0.9730798602104187, 1.8455870151519775, -0.01138628926128149, -1.1290874481201172, 2.365753412246704]","[1539.3608084134758, 2221.294507901912, 386.45860446842653, 1555.535473646596, 481.51128350597844, 2008.6976927142991, 1638.4821929316968, 1802.8975359915867, 337.92092614085516, 1552.123525859788, 648.5941196855342, 2391.8058342166873]"
10,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.02857147343456745, -1.0700241327285767, 2.371694564819336, -0.011310919187963009, -0.9653831720352173, 1.849503993988037, 0.006387696601450443, -0.9814580678939819, 1.8456937074661255, -0.016715748235583305, -1.109466791152954, 2.369358539581299]","[1553.1429248861969, 2155.658686518675, 387.04846030696115, 1552.241856874898, 484.2598826583664, 2009.7435784043448, 1640.4119454603642, 1818.4204654102014, 337.94046115346254, 1543.7562752701342, 637.3232099305308, 2395.450662349383]"
